date,player_name,#NAME?,opponent,country,player_id,match_id,event_id,event_name,best_of,map_1,map_2,map_3,kills,assists,deaths,hs,flash_assists,kast,kddiff,adr,fkdiff,rating,m1_kills,m1_assists,m1_deaths,m1_hs,m1_flash_assists,m1_kast,m1_kddiff,m1_adr,m1_fkdiff,m1_rating,m2_kills,m2_assists,m2_deaths,m2_hs,m2_flash_assists,m2_kast,m2_kddiff,m2_adr,m2_fkdiff,m2_rating,m3_kills,m3_assists,m3_deaths,m3_hs,m3_flash_assists,m3_kast,m3_kddiff,m3_adr,m3_fkdiff,m3_rating,kills_ct,deaths_ct,kddiff_ct,adr_ct,kast_ct,rating_ct,kills_t,deaths_t,kddiff_t,adr_t,kast_t,rating_t,m1_kills_ct,m1_deaths_ct,m1_kddiff_ct,m1_adr_ct,m1_kast_ct,m1_rating_ct,m1_kills_t,m1_deaths_t,m1_kddiff_t,m1_adr_t,m1_kast_t,m1_rating_t,m2_kills_ct,m2_deaths_ct,m2_kddiff_ct,m2_adr_ct,m2_kast_ct,m2_rating_ct,m2_kills_t,m2_deaths_t,m2_kddiff_t,m2_adr_t,m2_kast_t,m2_rating_t,m3_kills_ct,m3_deaths_ct,m3_kddiff_ct,m3_adr_ct,m3_kast_ct,m3_rating_ct,m3_kills_t,m3_deaths_t,m3_kddiff_t,m3_adr_t,m3_kast_t,m3_rating_t,winner
2/26/2020,EliGE,Liquid,Evil Geniuses,United States,8738,2339385,4901,IEM Katowice 2020,3,Overpass,Nuke,Inferno,55,10,51,28,1,67.5,4,77.9,1,1.08,15,3,12,9,0,69.6,3,77,3,1.32,24,3,24,14,0,64.7,0,72.9,-1,0.97,16,4,15,5,1,69.2,1,85.2,-1,1.04,31,17,14,96.6,71.4,1.39,24,34,-10,64.2,64.6,0.86,11,2,9,135.2,75,2.17,4,10,-6,45.9,66.7,0.87,13,9,4,87.6,75,1.26,11,15,-4,59.7,55.6,0.71,7,6,1,81.5,63.6,1.03,9,9,0,87.9,73.3,1.05,0
2/26/2020,NAF,Liquid,Evil Geniuses,Canada,8520,2339385,4901,IEM Katowice 2020,3,Overpass,Nuke,Inferno,52,22,46,23,9,77.1,6,75.9,-1,1.08,10,5,12,3,3,65.2,-2,51.5,0,0.83,29,6,21,16,0,82.4,8,101.9,0,1.35,13,11,13,4,6,80.8,0,63.3,-1,0.98,28,17,11,96.3,85.7,1.36,24,29,-5,61,70.8,0.87,4,3,1,64.8,62.5,0.98,6,9,-3,44.4,66.7,0.75,19,8,11,128.1,100,1.88,10,13,-3,78.7,66.7,0.89,5,6,-1,72.9,81.8,0.96,8,7,1,56.3,80,0.99,0
2/26/2020,Stewie2K,Liquid,Evil Geniuses,United States,8797,2339385,4901,IEM Katowice 2020,3,Overpass,Nuke,Inferno,56,8,54,31,3,73.5,2,67.2,1,1.08,18,3,11,11,1,82.6,7,76.2,3,1.4,21,2,25,12,0,67.6,-4,60.1,-1,0.92,17,3,18,8,2,73.1,-1,68.4,-1,1.01,29,18,11,73.2,88.6,1.23,27,36,-9,62.8,62.5,0.97,8,3,5,83.4,100,1.51,10,8,2,72.4,73.3,1.34,13,9,4,73.8,87.5,1.19,8,16,-8,48.1,50,0.69,8,6,2,65.1,81.8,1.09,9,12,-3,70.8,66.7,0.95,0
2/26/2020,Twistzz,Liquid,Evil Geniuses,Canada,10394,2339385,4901,IEM Katowice 2020,3,Overpass,Nuke,Inferno,72,14,45,45,3,77.1,27,93.3,0,1.36,24,4,10,16,3,87,14,106.4,1,1.58,24,5,24,17,0,67.6,0,83.2,-2,1.08,24,5,11,12,0,80.8,13,95,1,1.55,37,16,21,110.3,88.6,1.62,35,29,6,81,68.8,1.17,10,3,7,124,100,1.84,14,7,7,97,80,1.44,14,10,4,101.5,81.2,1.37,10,14,-4,66.9,55.6,0.82,13,3,10,113,90.9,1.84,11,8,3,81.9,73.3,1.33,0
2/26/2020,nitr0,Liquid,Evil Geniuses,United States,7687,2339385,4901,IEM Katowice 2020,3,Overpass,Nuke,Inferno,50,15,52,17,6,73.5,-2,64.6,4,1.06,15,4,12,7,3,78.3,3,69,2,1.23,15,6,24,4,1,67.6,-9,53,-4,0.82,20,5,16,6,2,76.9,4,75.7,6,1.26,24,19,5,74.7,77.1,1.11,26,33,-7,57.2,70.8,1.03,4,5,-1,60.5,75,0.9,11,7,4,73.6,80,1.41,11,9,2,70.3,81.2,1.11,4,15,-11,37.7,55.6,0.56,9,5,4,91.4,72.7,1.27,11,11,0,64.1,80,1.25,0
2/25/2020,EliGE,Liquid,Virtus.pro,United States,8738,2339380,4901,IEM Katowice 2020,3,Vertigo,Mirage,,45,16,41,26,1,68.3,4,94.9,-3,1.23,23,4,23,14,1,68.6,0,71.5,-4,1.03,22,12,18,12,0,68,4,127.5,1,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18,-1,92.6,70.4,1.08,28,23,5,96.7,66.7,1.36,10,10,0,65.2,64.7,0.92,13,13,0,77.6,72.2,1.13,7,8,-1,139.3,80,1.41,15,10,5,119.7,60,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/25/2020,NAF,Liquid,Virtus.pro,Canada,8520,2339380,4901,IEM Katowice 2020,3,Vertigo,Mirage,,41,8,34,13,1,71.7,7,71.3,3,1.12,25,6,23,8,0,65.7,2,79,2,1.13,16,2,11,5,1,80,5,60.5,1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,14,10,86.1,85.2,1.37,17,20,-3,59.2,60.6,0.91,15,10,5,91.8,88.2,1.42,10,13,-3,67,44.4,0.86,9,4,5,76.6,80,1.29,7,7,0,49.8,80,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/25/2020,Stewie2K,Liquid,Virtus.pro,United States,8797,2339380,4901,IEM Katowice 2020,3,Vertigo,Mirage,,37,5,38,15,3,71.7,-1,60.9,4,1.04,20,2,21,10,1,68.6,-1,60,-1,0.96,17,3,17,5,2,76,0,62.2,5,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,14,6,75.1,74.1,1.2,17,24,-7,49.4,69.7,0.92,9,8,1,55.6,64.7,0.92,11,13,-2,64.1,72.2,1.01,11,6,5,108.1,90,1.74,6,11,-5,31.7,66.7,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/25/2020,Twistzz,Liquid,Virtus.pro,Canada,10394,2339380,4901,IEM Katowice 2020,3,Vertigo,Mirage,,48,14,38,34,7,73.3,10,82.5,-2,1.21,24,8,24,15,3,71.4,0,75.1,-1,1.07,24,6,14,19,4,76,10,92.8,-1,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,17,5,87.1,77.8,1.21,26,21,5,78.7,69.7,1.2,11,11,0,72.7,70.6,0.97,13,13,0,77.4,72.2,1.16,11,6,5,111.7,90,1.64,13,8,5,80.2,66.7,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/25/2020,nitr0,Liquid,Virtus.pro,United States,7687,2339380,4901,IEM Katowice 2020,3,Vertigo,Mirage,,37,15,34,17,8,75,3,64.9,-2,1,28,8,21,13,5,74.3,7,81.2,-1,1.16,9,7,13,4,3,76,-4,42.2,-1,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,13,9,81.6,81.5,1.17,15,21,-6,51.3,69.7,0.87,18,8,10,106.5,82.4,1.44,10,13,-3,57.3,66.7,0.89,4,5,-1,39.3,80,0.76,5,8,-3,44.1,73.3,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/26/2020,Bubzkji,MAD Lions,Virtus.pro,Denmark,9612,2339389,4901,IEM Katowice 2020,3,Overpass,Vertigo,Dust2,53,16,52,29,3,70.7,1,76.2,-1,1.06,19,4,18,7,2,73.3,1,76.7,3,1.07,19,5,14,12,0,65.2,5,86.7,-1,1.24,15,7,20,10,1,72.4,-5,67.4,-3,0.9,22,27,-5,72.3,68.4,0.84,31,25,6,79.6,72.7,1.25,9,8,1,72.5,66.7,0.96,10,10,0,80.9,80,1.19,5,6,-1,88,62.5,0.93,14,8,6,86,66.7,1.4,8,13,-5,63.7,73.3,0.67,7,7,0,71.4,71.4,1.15,0
2/26/2020,HUNDEN,MAD Lions,Virtus.pro,Denmark,7415,2339389,4901,IEM Katowice 2020,3,Overpass,Vertigo,Dust2,43,18,57,21,10,70.7,-14,60.8,-9,0.86,20,7,18,12,3,73.3,2,71.5,-3,1.08,9,2,19,3,2,60.9,-10,45.6,-2,0.56,14,9,20,6,5,75.9,-6,61.8,-4,0.89,21,31,-10,69.2,57.9,0.69,22,26,-4,53.6,81.8,1,9,11,-2,73.2,73.3,0.89,11,7,4,69.9,73.3,1.28,2,8,-6,49.5,25,0.17,7,11,-4,43.5,80,0.76,10,12,-2,75.6,60,0.8,4,8,-4,47.1,92.9,0.98,0
2/26/2020,acoR,MAD Lions,Virtus.pro,Denmark,10330,2339389,4901,IEM Katowice 2020,3,Overpass,Vertigo,Dust2,49,18,47,13,13,69.5,2,60,3,1.01,19,5,14,9,4,76.7,5,63.9,4,1.21,15,5,16,2,3,60.9,-1,62.9,0,0.9,15,8,17,2,6,69,-2,53.7,-1,0.91,19,25,-6,47.6,57.9,0.69,30,22,8,70.7,79.5,1.29,8,7,1,43.4,60,0.87,11,7,4,84.4,93.3,1.56,4,7,-3,51,50,0.61,11,9,2,69.2,66.7,1.06,7,11,-4,50.1,60,0.56,8,6,2,57.5,78.6,1.28,0
2/26/2020,roeJ,MAD Lions,Virtus.pro,Denmark,14419,2339389,4901,IEM Katowice 2020,3,Overpass,Vertigo,Dust2,45,21,60,26,6,68.3,-15,71.2,0,0.93,21,0,20,11,0,70,1,64.2,0,1,6,9,20,4,2,56.5,-14,66.3,2,0.67,18,12,20,11,4,75.9,-2,82.2,-2,1.1,21,31,-10,74.7,63.2,0.74,24,29,-5,68.1,72.7,1.09,14,10,4,88.3,73.3,1.14,7,10,-3,40.2,66.7,0.85,1,7,-6,58.1,50,0.41,5,13,-8,70.7,60,0.81,6,14,-8,70,60,0.55,12,6,6,95.2,92.9,1.7,0
2/26/2020,sjuush,MAD Lions,Virtus.pro,Denmark,14148,2339389,4901,IEM Katowice 2020,3,Overpass,Vertigo,Dust2,69,17,53,31,3,75.6,16,89.2,1,1.29,25,8,20,12,0,80,5,99.9,-2,1.32,13,5,17,8,1,65.2,-4,64.9,0,0.99,31,4,16,11,2,79.3,15,97.4,3,1.53,25,27,-2,80.8,76.3,0.94,44,26,18,96.5,75,1.59,10,12,-2,91.3,86.7,1.01,15,8,7,108.5,73.3,1.63,4,5,-1,44,75,0.72,9,12,-3,76.1,60,1.13,11,10,1,89.9,66.7,1.01,20,6,14,105.6,92.9,2.09,0
2/25/2020,Bubzkji,MAD Lions,Evil Geniuses,Denmark,9612,2339381,4901,IEM Katowice 2020,3,Vertigo,Dust2,Nuke,42,8,54,24,5,60.8,-12,63.6,-2,0.81,12,4,18,8,3,65.2,-6,67,0,0.8,16,2,18,7,2,60,-2,54.7,-2,0.8,14,2,18,9,0,57.1,-4,72.7,0,0.86,19,26,-7,57.1,58.3,0.69,23,28,-5,69.8,63.2,0.93,7,12,-5,59.8,60,0.7,5,6,-1,80.5,75,0.98,7,8,-1,48.1,53.3,0.69,9,10,-1,61.3,66.7,0.91,5,6,-1,73,66.7,0.7,9,12,-3,72.6,53.3,0.92,1
2/25/2020,HUNDEN,MAD Lions,Evil Geniuses,Denmark,7415,2339381,4901,IEM Katowice 2020,3,Vertigo,Dust2,Nuke,34,14,56,17,6,58.1,-22,54.5,1,0.75,12,6,20,5,3,60.9,-8,59.3,3,0.73,17,4,18,10,2,66.7,-1,61.2,0,0.95,5,4,18,2,1,42.9,-13,39.6,-2,0.51,17,27,-10,61.9,58.3,0.7,17,29,-12,47.4,57.9,0.8,6,13,-7,54.9,60,0.55,6,7,-1,67.6,62.5,1.08,10,9,1,75.3,66.7,1.04,7,9,-2,47.1,66.7,0.85,1,5,-4,46.3,33.3,0.27,4,13,-9,36.9,46.7,0.6,1
2/25/2020,acoR,MAD Lions,Evil Geniuses,Denmark,10330,2339381,4901,IEM Katowice 2020,3,Vertigo,Dust2,Nuke,54,12,48,19,6,67.6,6,74.7,6,1.13,16,2,14,10,1,65.2,2,61.8,2,1.05,21,7,16,3,4,73.3,5,82.3,2,1.27,17,3,18,6,1,61.9,-1,77.9,2,1.05,27,21,6,80.6,72.2,1.11,27,27,0,69,63.2,1.15,9,9,0,53.9,60,0.9,7,5,2,76.8,75,1.31,11,7,4,87.1,80,1.19,10,9,1,77.4,66.7,1.34,7,5,2,131.2,83.3,1.48,10,13,-3,56.5,53.3,0.88,1
2/25/2020,roeJ,MAD Lions,Evil Geniuses,Denmark,14419,2339381,4901,IEM Katowice 2020,3,Vertigo,Dust2,Nuke,33,8,59,20,4,59.5,-26,54.6,-7,0.69,10,2,19,5,0,56.5,-9,57.7,-5,0.55,19,5,21,13,4,73.3,-2,71.3,2,1.08,4,1,19,2,0,42.9,-15,27.6,-4,0.35,17,28,-11,57.1,58.3,0.66,16,31,-15,52.3,60.5,0.72,5,12,-7,45.4,60,0.43,5,7,-2,80.8,50,0.79,11,10,1,75.5,73.3,1.11,8,11,-3,67,73.3,1.05,1,6,-5,40.3,16.7,0.28,3,13,-10,22.5,53.3,0.37,1
