"","date","player_name","team","opponent","country","player_id","match_id","event_id","event_name","best_of","map_1","map_2","map_3","kills","assists","deaths","hs","flash_assists","kast","kddiff","adr","fkdiff","rating","m1_kills","m1_assists","m1_deaths","m1_hs","m1_flash_assists","m1_kast","m1_kddiff","m1_adr","m1_fkdiff","m1_rating","m2_kills","m2_assists","m2_deaths","m2_hs","m2_flash_assists","m2_kast","m2_kddiff","m2_adr","m2_fkdiff","m2_rating","m3_kills","m3_assists","m3_deaths","m3_hs","m3_flash_assists","m3_kast","m3_kddiff","m3_adr","m3_fkdiff","m3_rating","kills_ct","deaths_ct","kddiff_ct","adr_ct","kast_ct","rating_ct","kills_t","deaths_t","kddiff_t","adr_t","kast_t","rating_t","m1_kills_ct","m1_deaths_ct","m1_kddiff_ct","m1_adr_ct","m1_kast_ct","m1_rating_ct","m1_kills_t","m1_deaths_t","m1_kddiff_t","m1_adr_t","m1_kast_t","m1_rating_t","m2_kills_ct","m2_deaths_ct","m2_kddiff_ct","m2_adr_ct","m2_kast_ct","m2_rating_ct","m2_kills_t","m2_deaths_t","m2_kddiff_t","m2_adr_t","m2_kast_t","m2_rating_t","m3_kills_ct","m3_deaths_ct","m3_kddiff_ct","m3_adr_ct","m3_kast_ct","m3_rating_ct","m3_kills_t","m3_deaths_t","m3_kddiff_t","m3_adr_t","m3_kast_t","m3_rating_t","winner"
"39","2020-02-25","flamie","Natus Vincere","fnatic","Russia",7594,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",41,12,52,17,0,66.7,-11,58.7,-1,0.83,12,4,17,6,0,52.2,-5,58.3,0,0.73,16,2,17,5,0,76.7,-1,53,-1,0.91,13,6,18,6,0,67.9,-5,65.2,0,0.86,22,20,2,66.5,73.7,1.01,19,32,-13,51.9,60.5,0.68,4,5,-1,66.2,50,0.82,8,12,-4,54.1,53.3,0.68,7,7,0,49,73.3,0.92,9,10,-1,57.1,80,0.9,11,8,3,84.1,86.7,1.22,2,10,-8,43.3,46.2,0.44,1
"40","2020-02-25","s1mple","Natus Vincere","fnatic","Ukraine",7998,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",70,12,53,20,6,71.6,17,89.6,9,1.29,15,6,17,6,4,69.6,-2,80.8,3,1.07,30,3,16,9,1,70,14,98.4,5,1.53,25,3,20,5,1,75,5,87.4,1,1.24,41,20,21,114.5,81.6,1.71,29,33,-4,67.6,62.8,0.93,7,5,2,106.4,87.5,1.43,8,12,-4,67.2,60,0.88,15,8,7,102.1,66.7,1.59,15,8,7,94.7,73.3,1.48,19,7,12,131.3,93.3,1.99,6,13,-7,36.6,53.8,0.37,1
"41","2020-02-24","Boombl4","Natus Vincere","FaZe","Russia",11840,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",56,9,57,26,4,66.7,-1,73.3,0,1,12,2,22,4,0,52,-10,60.2,-1,0.65,20,2,23,9,0,66.7,-3,69.6,0,0.96,24,5,12,13,4,80.8,12,90.3,1,1.44,29,27,2,78.1,70.7,1,27,30,-3,68.4,62.5,1,11,13,-2,81.6,60,0.85,1,9,-8,28,40,0.34,9,12,-3,69.9,60,0.79,11,11,0,69.3,73.3,1.14,9,2,7,84.6,100,1.54,15,10,5,94.5,66.7,1.36,0
"42","2020-02-24","Perfecto","Natus Vincere","FaZe","Russia",16947,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",53,11,52,28,2,74.1,1,70.1,0,1.07,14,5,20,10,1,68,-6,56.8,-1,0.77,20,4,17,11,1,73.3,3,72.3,-2,1.16,19,2,15,7,0,80.8,4,80.4,3,1.27,23,24,-1,57.7,70.7,0.94,30,28,2,82.8,77.5,1.2,6,13,-7,42.4,60,0.49,8,7,1,78.3,80,1.17,9,7,2,57.5,73.3,1.12,11,10,1,87.1,73.3,1.21,8,4,4,78.7,81.8,1.35,11,11,0,81.7,80,1.22,0
"43","2020-02-24","electronic","Natus Vincere","FaZe","Russia",8918,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",52,14,57,24,0,64.2,-5,77.1,-2,1,21,4,18,12,0,64,3,90.6,4,1.24,14,6,24,5,0,60,-10,64.2,-5,0.67,17,4,15,7,0,69.2,2,79,-1,1.18,37,22,15,100.4,80.5,1.44,15,35,-20,53.2,47.5,0.55,16,9,7,108.7,73.3,1.6,5,9,-4,63.5,50,0.69,8,11,-3,78.1,73.3,0.89,6,13,-7,50.3,46.7,0.45,13,2,11,119.5,100,2.02,4,13,-9,49.3,46.7,0.56,0
"44","2020-02-24","flamie","Natus Vincere","FaZe","Russia",7594,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",48,11,55,22,1,71.6,-7,63.4,-7,0.9,14,3,18,4,0,88,-4,53.1,-2,0.8,17,4,21,6,1,63.3,-4,64.9,-1,0.88,17,4,16,12,0,65.4,1,71.5,-4,1.08,30,23,7,83,80.5,1.18,18,32,-14,43.3,62.5,0.61,8,9,-1,59,86.7,0.88,6,9,-3,44.2,90,0.68,9,10,-1,69.5,60,0.88,8,11,-3,60.3,66.7,0.88,13,4,9,134,100,2.09,4,12,-8,25.7,40,0.34,0
"45","2020-02-24","s1mple","Natus Vincere","FaZe","Ukraine",7998,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",57,16,46,18,7,72.8,11,77.7,4,1.15,19,7,18,8,1,60,1,87.2,-1,1.11,21,5,15,7,4,76.7,6,80.4,0,1.17,17,4,13,3,2,80.8,4,65.4,5,1.18,38,19,19,96.3,80.5,1.43,19,27,-8,58.6,65,0.86,13,10,3,101.1,60,1.2,6,8,-2,66.4,60,0.97,16,6,10,116.3,86.7,1.7,5,9,-4,44.5,66.7,0.64,9,3,6,62.5,100,1.42,8,10,-2,67.5,66.7,1,0
"46","2020-02-26","Lekr0","NiP","Natus Vincere","Sweden",9261,2339390,4901,"IEM Katowice 2020",3,"Mirage","Train","",27,8,36,14,5,60,-9,66.8,0,0.78,7,6,18,4,3,52.6,-11,44.5,-1,0.47,20,2,18,10,2,65.4,2,83.1,1,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,8,103.6,78.9,1.37,8,25,-17,39.9,46.2,0.35,3,3,0,87.2,50,0.91,4,15,-11,33.1,53.3,0.36,16,8,8,108,86.7,1.51,4,10,-6,49.2,36.4,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"47","2020-02-26","Plopski","NiP","Natus Vincere","Sweden",14218,2339390,4901,"IEM Katowice 2020",3,"Mirage","Train","",31,7,38,10,0,60,-7,87.8,-5,0.92,16,4,17,5,0,52.6,-1,110.2,-3,1.1,15,3,21,5,0,65.4,-6,71.5,-2,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,-3,85.5,63.2,0.82,19,23,-4,89.5,57.7,1,4,3,1,138.8,100,1.54,12,14,-2,102.5,40,0.98,8,12,-4,71.3,53.3,0.66,7,9,-2,71.7,81.8,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"48","2020-02-26","REZ","NiP","Natus Vincere","Sweden",9278,2339390,4901,"IEM Katowice 2020",3,"Mirage","Train","",26,3,39,15,2,53.3,-13,66,0,0.75,11,1,18,7,1,57.9,-7,63.2,-1,0.75,15,2,21,8,1,50,-6,68.2,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,16,-7,57.6,57.9,0.62,17,23,-6,72.2,50,0.84,1,4,-3,25.2,50,0.17,10,14,-4,73.3,60,0.91,8,12,-4,66.2,60,0.75,7,9,-2,70.8,36.4,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"49","2020-02-26","nawwk","NiP","Natus Vincere","Sweden",13670,2339390,4901,"IEM Katowice 2020",3,"Mirage","Train","",20,2,34,7,0,55.6,-14,52.1,-1,0.7,4,1,15,1,0,42.1,-11,36.8,-2,0.41,16,1,19,6,0,65.4,-3,63.3,1,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,-5,49.3,52.6,0.54,12,21,-9,54.2,57.7,0.81,1,3,-2,30,25,0.2,3,12,-9,38.7,46.7,0.46,7,10,-3,54.4,60,0.64,9,9,0,75.5,72.7,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"50","2020-02-26","twist","NiP","Natus Vincere","Sweden",7443,2339390,4901,"IEM Katowice 2020",3,"Mirage","Train","",15,3,36,5,0,60,-21,49.3,-5,0.58,4,1,17,1,0,42.1,-13,38.9,-4,0.3,11,2,19,4,0,73.1,-8,56.9,-1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,-6,54.1,68.4,0.7,8,23,-15,45.8,53.8,0.5,1,3,-2,69.2,50,0.53,3,14,-11,30.8,40,0.24,6,10,-4,50,73.3,0.75,5,9,-4,66.4,72.7,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
